chainstore,huimer,,,,,,chainstore,round-huimer,,,,,,chainstore,EFIM,,,,chainstore,round_EFIM,,,,,chainstore,ULB-Miner,,,,,,chainstore,round_ULB-Miner,,,,,chainstore,Hminer,,,,,,,,chainstore,round_Hminer,,
min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count
10000000,3041,355.2686768,10,,,,10000000,2441,54.38800812,1,,,,10000000,3495,378.5825577,10,,10000000,1458,137.0208435,1,,,10000000,4259,656.7093964,10,,,,10000000,2734,135.016655,1,,,10000000,4427,764.6925278,10,,,,,,10000000,2572,91.02916718,1
9000000,3397,626.8750458,13,,,,9000000,2436,117.1723633,1,,,,9000000,4019,868.7113647,13,,9000000,1444,347.1732788,1,,,9000000,4515,857.091362,13,,,,9000000,2692,125.4598083,1,,,9000000,4631,362.9321442,13,,,,,,9000000,2805,133.6545486,1
8000000,4114,550.6604996,15,,,,8000000,2445,159.8896332,1,,,,8000000,6320,804,15,,8000000,1506,266.4354782,1,,,8000000,4810,659.595459,15,,,,8000000,2713,158.4633408,1,,,8000000,5002,1180.696304,15,,,,,,8000000,2795,168.8063965,1
7000000,5404,642.3598633,17,,,,7000000,2460,185.1235504,2,,,,7000000,9967,482.3130798,17,,7000000,1456,523.2475586,2,,,7000000,5401,472.5234985,17,,,,7000000,2710,175.0976791,2,,,7000000,5516,867.2324219,17,,,,,,7000000,2822,55.9899826,2
6000000,8461,466.2729492,20,,,,6000000,2516,118.7272491,3,,,,6000000,16435,830.8139191,20,,6000000,1453,632.3458252,3,,,6000000,6034,625.2257767,20,,,,6000000,2716,296.0898056,3,,,6000000,6528,1646.214844,20,,,,,,6000000,2805,207.9049072,3
5000000,12207,734.5097885,28,,,,5000000,2462,37.86523438,4,,,,5000000,26526,1408.503906,28,,5000000,1443,646.7015686,4,,,5000000,7228,391.3399277,28,,,,5000000,2712,297.4495773,4,,,5000000,7540,1027.254883,28,,,,,,5000000,2824,130.398941,4
4000000,22167,738.6484375,46,,,,4000000,2475,46.21615601,4,,,,4000000,37044,988.4084015,46,,4000000,1449,764.9466171,4,,,4000000,8687,950.3954773,46,,,,4000000,2739,177.1621094,4,,,4000000,10675,1564,46,,,,,,4000000,2822,188.849968,4
3000000,59007,772.7692947,66,,,,3000000,2494,39.97454834,5,,,,3000000,93918,388.5849609,66,,3000000,1792,129.992218,5,,,3000000,11082,1407.281601,66,,,,3000000,2753,240.4075012,5,,,3000000,13579,1903.410172,66,,,,,,3000000,2822,48.27978516,5
2000000,189864,510.3937302,127,,,,2000000,2494,30.95974731,6,,,,2000000,286246,717.1434326,127,,2000000,1522,300.725708,6,,,2000000,15451,1553,127,,,,2000000,2789,292.3031998,6,,,2000000,30296,1964.260788,127,,,,,,2000000,2839,47.67610168,6
1000000,567331,385.2055588,382,,,,1000000,2547,86.48193359,20,,,,1000000,743562,1037.527878,382,,1000000,1522,445.9081268,20,,,1000000,25460,2457.895966,382,,,,1000000,3132,478.7884064,20,,,1000000,188125,2797.915161,382,,,,,,1000000,2898,149.303627,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chess,huim,,,,,,chess,round-huim,,,,,,chess,EFIM,,,,chess,round_EFIM,,,,,chess,ULB-Miner,,,,,,chess,round_ULB-Miner,,,,,chess,Hminer,,,,,,,,chess,round_Hminer,,
min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count
650000,1440,150.1896591,54,,,,650000,308,146.1334534,0,,,,650000,42,104.9882736,54,,650000,36,95.52857208,0,,,650000,534,128.370697,54,,,,650000,152,115.5639038,0,,,650000,274,182.6693726,54,,,,,,650000,259,149.7763672,0
625000,2283,111.7851791,182,,,,625000,430,83.26014709,0,,,,625000,38,768.1943359,182,,625000,37,89.84738159,0,,,625000,873,146.4870224,182,,,,625000,175,120,0,,,625000,317,219.174942,182,,,,,,625000,242,212.5193558,0
600000,3819,129.6532593,583,,,,600000,723,123.2092285,2,,,,600000,45,804.1943359,583,,600000,40,359.7606964,1,,,600000,1291,181.3574219,583,,,,600000,221,179.2804718,2,,,600000,378,222.4722366,583,,,,,,600000,280,221.2212448,2
575000,6537,151.5822296,1687,,,,575000,894,102.7510986,12,,,,575000,52,845.1923828,1687,,575000,46,453.1212616,12,,,575000,2583,139.3200836,1687,,,,575000,277,127.2521973,11,,,575000,440,222.6311264,1687,,,,,,575000,323,221.3757782,11
550000,11344,152.6975861,4214,,,,550000,1209,103.3302307,33,,,,550000,63,894.1943359,4214,,550000,54,479.1849594,31,,,550000,3610,176.215332,4214,,,,550000,372,103.9760132,31,,,550000,523,222.7079773,4214,,,,,,550000,402,211.3757782,30
525000,18876,143.327446,10995,,,,525000,1699,126.6266174,100,,,,525000,78,956.1943359,10995,,525000,63,417.0940018,91,,,525000,7537,193.6841278,10995,,,,525000,497,177.2441406,94,,,525000,633,222.9715424,10995,,,,,,525000,468,221.9985962,105
500000,31795,189.0574341,24979,,,,500000,2400,187.3384705,210,,,,500000,123,647.4414063,24979,,500000,74,181.9975586,223,,,500000,10645,157.8776245,24979,,,,500000,664,162.6791992,232,,,500000,784,223.0419922,24979,,,,,,500000,562,221.5703278,241
475000,53213,179.5425186,55459,,,,475000,3782,135.6208191,608,,,,475000,148,771.4414063,55459,,475000,85,539.0150681,611,,,475000,17797,178.4116211,31842,,,,475000,964,121.9101563,564,,,475000,999,222.9681168,55459,,,,,,475000,679,222.1652069,561
450000,86297,112.2074203,112873,,,,450000,5350,66.91064453,1312,,,,450000,218,963.4414063,112873,,450000,96,229.1789856,1235,,,450000,33050,195.6153717,112873,,,,450000,1314,109.0877075,1306,,,450000,1330,222.9621429,112873,,,,,,450000,836,222.2907104,1213
425000,139413,213.4070206,224667,,,,425000,8171,132.0907364,2781,,,,425000,333,1009.441406,224667,,425000,112,560.9236679,2712,,,425000,45592,165.0860138,224667,,,,425000,2022,131.2188034,2773,,,425000,1807,223.0571289,224667,,,,,,425000,1037,222.2445526,2709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mushroom,huim,,,,,,mushroom,round-huim,,,,,,mushroom,EFIM,,,,mushroom,round_EFIM,,,,,mushroom,ULB-Miner,,,,,,mushroom,round_ULB-Miner,,,,,mushroom,Hminer,,,,,,,,mushroom,round_Hminer,,
min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count
550000,211,165.0397339,10,,,,550000,114,50.78993988,0,,,,550000,37,135.3244324,10,,550000,46,91.76613617,0,,,550000,151,114.4399261,10,,,,550000,112,26.92744446,0,,,550000,140,150.9577026,10,,,,,,550000,124,74.2261734,0
500000,317,227.0346069,168,,,,500000,139,51.54649353,0,,,,500000,34,142.1093903,168,,500000,47,107.2427597,0,,,500000,202,220.1601715,168,,,,500000,112,117.8699646,0,,,500000,139,183.5453491,168,,,,,,500000,135,91.97627258,0
450000,664,188.6921158,1015,,,,450000,168,70.02971649,0,,,,450000,34,151.5285492,1015,,450000,48,150.7490082,0,,,450000,306,194.4258575,1015,,,,450000,113,166.6628113,0,,,450000,160,184.3913879,1015,,,,,,450000,150,99.79066467,0
400000,1342,186.9985275,3371,,,,400000,211,94.37546539,0,,,,400000,40,137.1078796,3371,,400000,52,88.08294678,0,,,400000,521,206.5613861,3371,,,,400000,131,111.7262878,0,,,400000,182,222.4894714,3371,,,,,,400000,170,161.452774,0
350000,2493,183.0019531,8514,,,,350000,273,104.545578,0,,,,350000,44,149.1065598,8514,,350000,57,108.4973755,0,,,350000,893,229.689003,8514,,,,350000,150,222.310318,0,,,350000,204,221.6195984,8514,,,,,,350000,192,163.9508438,0
300000,4035,183.6650848,16843,,,,300000,470,73.38844299,21,,,,300000,50,135.1192169,16843,,300000,62,122.8462448,19,,,300000,1369,121.3312988,16843,,,,300000,200,103.838768,17,,,300000,239,222.1676788,16843,,,,,,300000,239,182.0819855,19
