
觀測時間(day),測站氣壓(hPa),海平面氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),露點溫度(℃),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大陣風(m/s),最大陣風風向(360degree),最大陣風風速時間(LST),降水量(mm),降水時數(hour),最大十分鐘降水量(mm),最大十分鐘降水量起始時間(LST),最大六十分鐘降水量(mm),最大六十分鐘降水量起始時間(LST),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),能見度(km),A型蒸發量(mm),日最高紫外線指數,日最高紫外線指數時間(LST),總雲量(0~10)

01,1003.8 ,... ,1006.0 ,2022-06-01 00:51 ,1001.1 ,2022-06-01 16:21 ,29.0 ,33.8 ,2022-06-01 14:22 ,24.7 ,2022-06-01 05:21 ,... ,76 ,59 ,2022-06-01 09:23 ,1.4 ,324 ,8.4 ,320 ,2022-06-01 12:46 ,0.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
02,1002.9 ,... ,1004.4 ,2022-06-02 22:41 ,1001.6 ,2022-06-02 14:51 ,29.6 ,34.0 ,2022-06-02 10:57 ,27.0 ,2022-06-02 21:56 ,... ,70 ,50 ,2022-06-02 10:57 ,1.2 ,335 ,9.3 ,349 ,2022-06-02 13:35 ,0.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
03,1003.7 ,... ,1005.1 ,2022-06-03 22:31 ,1002.4 ,2022-06-03 14:13 ,29.0 ,34.6 ,2022-06-03 11:31 ,26.3 ,2022-06-03 23:42 ,... ,72 ,48 ,2022-06-03 10:35 ,1.1 ,115 ,6.4 ,46 ,2022-06-03 14:43 ,0.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
04,1003.6 ,... ,1005.2 ,2022-06-04 08:52 ,1001.9 ,2022-06-04 16:54 ,28.8 ,33.8 ,2022-06-04 14:04 ,25.6 ,2022-06-04 05:14 ,... ,75 ,54 ,2022-06-04 14:04 ,1.1 ,117 ,8.9 ,343 ,2022-06-04 13:18 ,0.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
05,1000.0 ,... ,1003.0 ,2022-06-05 00:08 ,997.8 ,2022-06-05 17:22 ,31.0 ,35.8 ,2022-06-05 12:11 ,26.2 ,2022-06-05 02:11 ,... ,61 ,40 ,2022-06-05 11:22 ,1.9 ,339 ,11.4 ,247 ,2022-06-05 15:08 ,0.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
06,999.4 ,... ,1003.0 ,2022-06-06 23:11 ,996.9 ,2022-06-06 02:23 ,28.2 ,32.3 ,2022-06-06 08:03 ,23.4 ,2022-06-06 23:51 ,... ,72 ,54 ,2022-06-06 08:21 ,1.4 ,318 ,9.4 ,311 ,2022-06-06 11:16 ,17.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
07,1003.7 ,... ,1006.1 ,2022-06-07 21:41 ,1000.5 ,2022-06-07 01:11 ,23.2 ,26.0 ,2022-06-07 10:54 ,20.4 ,2022-06-07 17:03 ,... ,93 ,86 ,2022-06-07 08:14 ,0.6 ,5 ,3.3 ,227 ,2022-06-07 13:41 ,60.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
08,1005.8 ,... ,1006.8 ,2022-06-08 09:11 ,1003.8 ,2022-06-08 15:38 ,22.9 ,25.3 ,2022-06-08 11:06 ,21.5 ,2022-06-08 06:46 ,... ,89 ,81 ,2022-06-08 11:36 ,1.3 ,120 ,10.7 ,139 ,2022-06-08 16:54 ,49.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
09,1005.4 ,... ,1006.5 ,2022-06-09 21:04 ,1003.9 ,2022-06-09 15:53 ,25.3 ,29.8 ,2022-06-09 15:32 ,21.7 ,2022-06-09 06:01 ,... ,88 ,68 ,2022-06-09 15:14 ,0.6 ,221 ,3.5 ,26 ,2022-06-09 16:40 ,12.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
10,1003.4 ,... ,1005.2 ,2022-06-10 00:01 ,1001.9 ,2022-06-10 15:01 ,26.6 ,32.1 ,2022-06-10 13:22 ,23.6 ,2022-06-10 05:43 ,... ,85 ,57 ,2022-06-10 14:01 ,0.7 ,97 ,4.7 ,21 ,2022-06-10 20:20 ,4.0 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
11,1004.9 ,... ,1007.4 ,2022-06-11 22:12 ,1002.7 ,2022-06-11 03:12 ,26.4 ,32.5 ,2022-06-11 10:21 ,22.9 ,2022-06-11 21:07 ,... ,83 ,54 ,2022-06-11 10:51 ,1.2 ,28 ,9.7 ,323 ,2022-06-11 12:30 ,0.5 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
